mes,entradas,membros_novos,receita,ticket_medio,cancelamentos,membros_cancelados,ano,mes_num,saldo_liquido,taxa_churn_pct
2024-11,2,2,219.8,109.9,0.0,0.0,2024,11,2.0,0.0
2024-12,82,82,8821.800000000001,107.5829268292683,0.0,0.0,2024,12,82.0,0.0
2025-01,114,114,12418.6,108.93508771929825,86.0,86.0,2025,01,28.0,75.4
2025-02,111,111,12058.900000000001,108.63873873873875,116.0,115.0,2025,02,-5.0,104.5
2025-03,210,189,23004.440000000002,109.5449523809524,112.0,111.0,2025,03,98.0,53.3
2025-04,1692,1242,192928.86000000002,114.02414893617022,104.0,104.0,2025,04,1588.0,6.1
2025-05,2400,1543,275475.02,114.78125833333334,101.0,101.0,2025,05,2299.0,4.2
2025-06,2386,1503,271884.36,113.94985750209555,97.0,97.0,2025,06,2289.0,4.1
2025-07,2179,1466,239455.82,109.89252868288206,70.0,70.0,2025,07,2109.0,3.2
2025-08,2239,1457,247180.78,110.39784725323806,98.0,97.0,2025,08,2141.0,4.4
2025-09,2375,1511,274493.56,115.57623578947369,94.0,94.0,2025,09,2281.0,4.0
2025-10,2341,1547,269766.53,115.2355958991884,92.0,92.0,2025,10,2249.0,3.9
2025-11,2326,1545,270072.78,116.11039552880483,88.0,88.0,2025,11,2238.0,3.8
2025-12,2834,1688,326444.66000000003,115.18865913902613,94.0,94.0,2025,12,2740.0,3.3
2026-01,4496,2244,520881.09,115.85433496441281,99.0,99.0,2026,01,4397.0,2.2
2026-02,4356,2215,505777.06,116.11043617998163,99.0,99.0,2026,02,4257.0,2.3
2026-03,4226,2241,492535.75,116.60410748106061,91.0,91.0,2026,03,4135.0,2.2
2026-04,523,257,59625.810000000005,114.00728489483748,93.0,93.0,2026,04,430.0,17.8
2026-05,1,1,119.9,119.9,5.0,5.0,2026,05,-4.0,500.0
